Game Title,Console,Genre,Publisher,Developer,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq
Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,9.4,20.33,6.37,0.99,9.85,3.12,2013,93,22
Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,9.7,19.39,6.06,0.6,9.71,3.02,2014,93,22
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,9.6,16.150000000000002,8.41,0.47,5.49,1.78,2002,93,22
Grand Theft Auto V,X360,Action,Rockstar Games,Rockstar North,7.101890450799806,15.87,9.06,0.06,5.33,1.42,2013,93,22
Call of Duty: Black Ops 3,PS4,Shooter,Activision,Treyarch,8.1,15.09,6.18,0.41,6.05,2.44,2015,1044,56
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,Infinity Ward,8.7,14.820000000000002,9.07,0.13,4.29,1.33,2011,1044,28
Call of Duty: Black Ops,X360,Shooter,Activision,Treyarch,8.8,14.74,9.76,0.11,3.73,1.14,2010,1044,56
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,Rockstar Games,9.8,13.94,5.26,0.21,6.21,2.26,2018,93,2
Call of Duty: Black Ops II,X360,Shooter,Activision,Treyarch,8.4,13.86,8.27,0.07,4.32,1.2,2012,1044,56
Call of Duty: Black Ops II,PS3,Shooter,Activision,Treyarch,8.0,13.8,4.99,0.65,5.88,2.28,2012,1044,56
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,Infinity Ward,9.5,13.53,8.54,0.08,3.63,1.28,2009,1044,28
Call of Duty: WWII,PS4,Shooter,Activision,Sledgehammer Games,8.1,13.400000000000002,4.67,0.4,6.21,2.12,2017,1044,6
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,Infinity Ward,8.8,13.35,5.54,0.49,5.78,1.54,2011,1044,28
Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,9.5,13.1,6.99,0.3,4.51,1.3,2001,93,8
Call of Duty: Black Ops,PS3,Shooter,Activision,Treyarch,8.7,12.67,6.01,0.48,4.4,1.78,2010,1044,56
FIFA 18,PS4,Sports,EA Sports,EA Vancouver,8.3,11.8,1.27,0.15,8.64,1.73,2017,540,19
Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,10.0,11.09,6.8,0.14,3.11,1.04,2008,93,22
FIFA 17,PS4,Sports,Electronic Arts,EA Canada,8.9,10.94,1.26,0.12,7.95,1.61,2016,843,292
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,Infinity Ward,9.5,10.62,4.99,0.38,3.66,1.59,2009,1044,28
Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,10.0,10.580000000000002,4.79,0.44,3.73,1.62,2008,93,22
Call of Duty: Ghosts,X360,Shooter,Activision,Infinity Ward,6.9,10.42,6.76,0.04,2.64,0.98,2013,1044,28
Call of Duty: Ghosts,PS3,Shooter,Activision,Infinity Ward,7.5,10.13,4.11,0.39,4.01,1.62,2013,1044,28
Halo: Reach,X360,Shooter,Microsoft Game Studios,Bungie,9.3,9.97,7.08,0.08,2.01,0.8,2010,92,16
Halo 4,X360,Shooter,Microsoft Studios,343 Industries,7.101890450799806,9.96,6.72,0.04,2.36,0.83,2012,41,3
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,Infinity Ward,9.6,9.41,5.98,0.13,2.39,0.91,2007,1044,28
Call of Duty: Black Ops IIII,PS4,Shooter,Activision,Treyarch,7.101890450799806,9.32,4.05,0.5,3.28,1.49,2018,1044,56
FIFA 19,PS4,Sports,Electronic Arts,EA Sports,7.101890450799806,9.15,0.84,0.1,6.87,1.34,2018,843,45
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.3,8.88,5.1,0.1,2.83,0.85,2011,113,11
Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,9.0,8.72,4.7,0.01,3.25,0.76,2014,93,22
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,Infinity Ward,7.9,8.49,3.11,0.19,3.83,1.36,2016,1044,28
Fallout 4,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.6,8.49,2.91,0.27,3.97,1.34,2015,113,11
FIFA 16,PS4,Sports,EA Sports,EA Canada,8.5,8.22,1.15,0.07,5.77,1.23,2015,540,292
Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,EA DICE,7.1,8.030000000000001,3.31,0.23,3.19,1.3,2015,843,25
FIFA 13,PS3,Sports,EA Sports,EA Canada,7.101890450799806,8.01,1.07,0.13,5.13,1.68,2012,540,292
The Sims 3,PC,Simulation,Electronic Arts,EA Redwood Shores,8.5,7.97,1.01,0.0,6.46,0.5,2009,843,58
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,8.8,7.72,2.9,0.24,2.83,1.74,2005,93,10
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,Sledgehammer Games,8.5,7.54,2.84,0.14,3.34,1.22,2014,1044,6
Call of Duty: World at War,X360,Shooter,Activision,Treyarch,8.5,7.5,4.88,0.0,1.91,0.71,2008,1044,56
Call of Duty: Black Ops 3,XOne,Shooter,Activision,Treyarch,7.101890450799806,7.37,4.63,0.02,2.04,0.68,2015,1044,56
Battlefield 3,X360,Shooter,Electronic Arts,Dice,8.5,7.35,4.47,0.06,2.12,0.69,2011,843,3
Battlefield 1,PS4,Shooter,Electronic Arts,EA DICE,9.1,7.260000000000001,2.2,0.29,3.65,1.12,2016,843,25
Battlefield 3,PS3,Shooter,Electronic Arts,Dice,8.5,7.220000000000001,2.86,0.35,2.94,1.07,2011,843,3
Need for Speed Underground,PS2,Racing,Electronic Arts,EA Black Box,8.6,7.2,3.27,0.08,2.83,1.02,2003,843,48
Need for Speed Underground 2,PS2,Racing,Electronic Arts,EA Black Box,8.3,6.9,2.71,0.08,3.02,1.09,2004,843,48
Just Dance 4,Wii,Music,Ubisoft,Ubisoft,7.101890450799806,6.89,4.05,0.0,2.21,0.62,2012,1012,196
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,EA Los Angeles,9.0,6.84,2.93,0.17,2.75,0.99,2002,843,33
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,9.5,6.74,3.28,0.21,2.22,1.02,2009,568,7
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,Infinity Ward,9.5,6.72,3.13,0.28,2.27,1.04,2007,1044,28
FIFA Soccer 12,PS3,Sports,EA Sports,EA Canada,9.2,6.65,0.84,0.11,4.33,1.37,2011,540,292
FIFA 14,PS3,Sports,EA Sports,EA Canada,7.101890450799806,6.61,0.79,0.07,4.77,0.98,2013,540,292
Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,9.5,6.57,2.82,0.17,2.58,1.0,2011,93,22
Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,0.09,2.03,0.6,2010,93,22
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.8,6.5,2.65,0.16,2.61,1.08,2012,1012,172
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,6.49,2.57,0.25,2.68,0.99,2011,113,11
Minecraft,PS4,Misc,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,0.35,3.13,0.96,2014,568,3
FIFA 15,PS4,Sports,EA Sports,EA Canada,8.1,6.32,0.83,0.05,4.49,0.94,2014,540,292
Driver,PS,Action,GT Interactive,Reflections Interactive,8.5,6.27,3.11,0.02,2.8,0.33,1999,26,12
Call of Duty: WWII,XOne,Shooter,Activision,Sledgehammer Games,7.101890450799806,6.23,3.75,0.0,1.91,0.57,2017,1044,6
Minecraft,PS3,Misc,Sony Computer Entertainment America,Mojang,7.101890450799806,6.0600000000000005,2.21,0.0,2.86,0.99,2014,19,3
Red Dead Redemption 2,XOne,Action-Adventure,Rockstar Games,Rockstar Games,7.101890450799806,5.77,3.76,0.0,1.47,0.54,2018,93,2
Destiny,PS4,Shooter,Activision,Bungie,7.101890450799806,5.76,2.53,0.16,2.13,0.94,2014,1044,16
