Game Title,Release Year,North American Sales,EU Sales,Japanese Sales,Other Sales,Sales,Big Publisher,Genre_Adventure,Genre_Fighting,Genre_Misc,Genre_Platform,Genre_Puzzle,Genre_Racing,Genre_Role-Playing,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,Console_3DO,Console_3DS,Console_DC,Console_DS,Console_GB,Console_GBA,Console_GC,Console_GEN,Console_GG,Console_N64,Console_NES,Console_NG,Console_PC,Console_PCFX,Console_PS,Console_PS2,Console_PS3,Console_PS4,Console_PSP,Console_PSV,Console_SAT,Console_SCD,Console_SNES,Console_TG16,Console_WS,Console_Wii,Console_WiiU,Console_X360,Console_XB,Console_XOne,Publisher_Acclaim Entertainment,Publisher_Activision,Publisher_Atari,Publisher_Capcom,Publisher_Codemasters,Publisher_D3Publisher,Publisher_Deep Silver,Publisher_Disney Interactive Studios,Publisher_Eidos Interactive,Publisher_Electronic Arts,Publisher_Idea Factory,Publisher_Konami Digital Entertainment,Publisher_Majesco Entertainment,Publisher_Microsoft Game Studios,Publisher_Midway Games,Publisher_Namco Bandai Games,Publisher_Nintendo,Publisher_Nippon Ichi Software,Publisher_Other,Publisher_Sega,Publisher_Sony Computer Entertainment,Publisher_Square Enix,Publisher_THQ,Publisher_Take-Two Interactive,Publisher_Tecmo Koei,Publisher_Ubisoft,Publisher_Unknown,Publisher_Vivendi Games,Publisher_Warner Bros. Interactive Entertainment,Publisher_Zoo Digital Publishing,Decade,NA Share,EU Share,JP Share,Other Share,Is Recent
Wii Sports,2006.0,1.0,1.0,0.36888454011741684,0.8003784295175025,1.0000000000000002,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.9999999999999998,0.9999999999999998,0.3688845401174168,0.8003784295175023,0
Super Mario Bros.,1985.0,0.7008917811520848,0.12336319779462442,0.6663405088062622,0.07284768211920531,0.4862806720657562,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1980.0,1.441331768697787,0.25368723225327555,1.3702796493547615,0.14980583499184325,0
Mario Kart Wii,2008.0,0.38201976379850566,0.4438318401102688,0.37084148727984345,0.3131504257332072,0.4328538619605948,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.8825605992474272,1.02536185792579,0.8567360023083341,0.723455311949406,0
Wii Sports Resort,2009.0,0.37960954446854667,0.3793935217091661,0.32093933463796476,0.2800378429517502,0.3987670736129579,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.9519580968136666,0.9514163701424465,0.8048290741012071,0.7022591921005847,0
Pokemon Red/Pokemon Blue,1996.0,0.27163171848638223,0.3063404548587182,1.0,0.0946073793755913,0.37906442644747984,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1990.0,0.7165845685707397,0.808148782859112,2.638073979591836,0.24958126580812073,0
Tetris,1989.0,0.5591708845504941,0.07787732598208133,0.41291585127201563,0.054872280037842946,0.36564728635319727,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1980.0,1.5292630505409046,0.21298483234702764,1.1292736653135154,0.15006888355473538,0
New Super Mario Bros.,2006.0,0.2742829597493372,0.31805651274982777,0.6360078277886496,0.27436140018921473,0.36262540795358406,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.756380975335422,0.8770938433264415,1.7538975864318322,0.7565972879217909,0
Wii Play,2006.0,0.33815377199325136,0.31702274293590627,0.28669275929549903,0.2696310312204352,0.35065876949111574,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.9643385576353561,0.9040776119644095,0.8175833152884051,0.7689271014431782,0
New Super Mario Bros. Wii,2009.0,0.3516510002410219,0.2432804962095107,0.4598825831702544,0.2138126773888363,0.34582376405173465,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,1.0168503058350136,0.7034811412587492,1.3298177597230036,0.6182706326591549,0
Duck Hunt,1984.0,0.6490720655579658,0.021709166092350105,0.027397260273972605,0.04446546830652791,0.34207663483621426,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1980.0,1.897446359844894,0.06346287317385596,0.08009100150055665,0.12998686194342943,0
Nintendogs,2005.0,0.2186068932272837,0.3790489317711923,0.1888454011741683,0.26017029328287605,0.29916596156170683,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.7307211424926535,1.2670189141588175,0.6312395975409673,0.8696520550825184,0
Mario Kart DS,2005.0,0.2364425162689805,0.2608545830461751,0.40410958904109584,0.1816461684011353,0.2829686933397801,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.8355783584336929,0.9218496221875292,1.428107061143522,0.6419302653492489,0
Pokemon Gold/Pokemon Silver,1999.0,0.21691973969631237,0.2129565816678153,0.7045009784735812,0.06717123935666981,0.27910068898827517,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1990.0,0.7772096173701134,0.7630098744641991,2.524182154574247,0.2406702742302855,0
Wii Fit,2007.0,0.21547360809833693,0.27670572019297035,0.3522504892367906,0.20340586565752128,0.27450743382086307,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.784946349536566,1.0080081123542244,1.2832092899409813,0.7409849082275092,0
Wii Fit Plus,2009.0,0.21908893709327548,0.2960027567195038,0.2475538160469667,0.16934720908230844,0.2658044240299771,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.8242486478274977,1.113611098836041,0.931338208347683,0.63711207855295,0
Kinect Adventures!,2010.0,0.36080983369486624,0.17022742935906274,0.023483365949119372,0.15799432355723747,0.2636286715822556,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2010.0,1.3686289565142722,0.6457090889901539,0.0890774353494106,0.59930629930721,1
Grand Theft Auto V,2013.0,0.16895637503012775,0.319434872501723,0.0949119373776908,0.39167455061494794,0.25855191587090537,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2010.0,0.6534717581226025,1.2354767181892259,0.36709044316299017,1.5148777733695484,1
Grand Theft Auto: San Andreas,2004.0,0.22728368281513617,0.013783597518952449,0.040117416829745595,1.0,0.25142028284781825,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2000.0,0.9039989941969332,0.05482293378571807,0.15956316799638715,3.9774038461538455,0
Super Mario World,1990.0,0.3080260303687635,0.1292212267401792,0.34637964774951074,0.05203405865657522,0.24900278012812768,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1990.0,1.2370385190489224,0.5189549557385933,1.3910673911804379,0.20896978993487705,0
Brain Age: Train Your Brain in Minutes a Day,2005.0,0.11448541817305374,0.31909028256374916,0.4070450097847358,0.19394512771996214,0.24428864982473109,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.4686481269399671,1.3062018345620467,1.6662460989357342,0.7939178830416855,0
