Game Title,Release Year,North American Sales,EU Sales,Japanese Sales,Other Sales,Sales,Critic Score,Big Publisher,Genre_Adventure,Genre_Fighting,Genre_Misc,Genre_Platform,Genre_Puzzle,Genre_Racing,Genre_Role-Playing,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,Console_3DO,Console_3DS,Console_DC,Console_DS,Console_GB,Console_GBA,Console_GC,Console_GEN,Console_GG,Console_N64,Console_NES,Console_NG,Console_PC,Console_PCFX,Console_PS,Console_PS2,Console_PS3,Console_PS4,Console_PSP,Console_PSV,Console_SAT,Console_SCD,Console_SNES,Console_TG16,Console_WS,Console_Wii,Console_WiiU,Console_X360,Console_XB,Console_XOne,Publisher_Acclaim Entertainment,Publisher_Activision,Publisher_Atari,Publisher_Capcom,Publisher_Codemasters,Publisher_D3Publisher,Publisher_Deep Silver,Publisher_Disney Interactive Studios,Publisher_Eidos Interactive,Publisher_Electronic Arts,Publisher_Idea Factory,Publisher_Konami Digital Entertainment,Publisher_Majesco Entertainment,Publisher_Microsoft Game Studios,Publisher_Midway Games,Publisher_Namco Bandai Games,Publisher_Nintendo,Publisher_Nippon Ichi Software,Publisher_Other,Publisher_Sega,Publisher_Sony Computer Entertainment,Publisher_Square Enix,Publisher_THQ,Publisher_Take-Two Interactive,Publisher_Tecmo Koei,Publisher_Ubisoft,Publisher_Unknown,Publisher_Vivendi Games,Publisher_Warner Bros. Interactive Entertainment,Publisher_Zoo Digital Publishing,Developer_Arc System Works,Developer_Artificial Mind and Movement,Developer_Capcom,Developer_Codemasters,Developer_EA Canada,Developer_EA Sports,Developer_EA Tiburon,Developer_Electronic Arts,Developer_Eurocom Entertainment Software,Developer_FUN Labs,Developer_Harmonix Music Systems,Developer_High Voltage Software,Developer_Konami,Developer_Maxis,Developer_Midway,Developer_Namco,Developer_Neversoft Entertainment,Developer_Nintendo,Developer_Omega Force,Developer_Other,Developer_Square Enix,Developer_THQ,Developer_TT Games,Developer_Traveller's Tales,Developer_Ubisoft,Developer_Ubisoft Montreal,Developer_Unknown,Developer_Vicarious Visions,Developer_Visual Concepts,Developer_Yuke's,Decade,NA Share,EU Share,JP Share,Other Share,Is Recent
Wii Sports,2006.0,1.0,1.0,0.36888454011741684,0.7994323557237464,1.0,0.7411764705882352,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,1.0,1.0,0.36888454011741684,0.7994323557237464,0
Super Mario Bros.,1985.0,0.7030947775628626,0.12361878453038674,0.6663405088062622,0.07284768211920531,0.48751817741153664,0.6584432765363734,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1980.0,1.44219192255748,0.25356753913615493,1.3668013618367574,0.14942557117764907,0
Mario Kart Wii,2008.0,0.379110251450677,0.44060773480662985,0.37084148727984345,0.3112582781456954,0.4303199224430442,0.8117647058823529,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.8809962813210325,1.0239073578215458,0.8617808935604809,0.7233183078733534,0
Wii Sports Resort,2009.0,0.3774177949709865,0.37741712707182323,0.32093933463796476,0.27909176915799433,0.3969946679592826,0.788235294117647,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.9506873150490172,0.9506856326607708,0.8084222800465461,0.7030113794541419,0
Pokemon Red/Pokemon Blue,1996.0,0.27248549323017407,0.306975138121547,1.0,0.0946073793755913,0.38002908385845857,0.6584432765363734,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1990.0,0.7170122098646035,0.8077674871744278,2.631377551020408,0.2489477342498021,0
Tetris,1989.0,0.5609284332688588,0.07803867403314917,0.41291585127201563,0.054872280037842946,0.3665777993213767,0.6584432765363734,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1980.0,1.5301756797800403,0.21288434318067664,1.1264071420484867,0.1496879520238942,0
New Super Mario Bros.,2006.0,0.2727272727272727,0.31560773480662985,0.6360078277886496,0.2724692526017029,0.36100339311682017,0.8941176470588236,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.7554701089444291,0.8742514359262535,1.7617779774796698,0.7547553784723908,0
Wii Play,2006.0,0.3375241779497099,0.3169889502762431,0.28669275929549903,0.26868495742667925,0.3503393116820165,0.5294117647058824,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,0.9634207943414065,0.9048055405325347,0.8183288307528391,0.7669277996143055,0
New Super Mario Bros. Wii,2009.0,0.3491295938104449,0.2396408839779006,0.4598825831702544,0.21192052980132453,0.3430683470673776,0.8705882352941176,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2000.0,1.0176677527812756,0.6985222799666675,1.340498437414673,0.6177210215190851,0
Duck Hunt,1984.0,0.6511121856866539,0.02175414364640884,0.027397260273972605,0.04446546830652791,0.3429471643238003,0.6584432765363734,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1980.0,1.8985787124686457,0.0634329305194932,0.07988770027590882,0.12965690617154357,0
Nintendogs,2005.0,0.2188104448742747,0.37810773480662985,0.1888454011741683,0.25922421948912017,0.2988366456616578,0.6584432765363734,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2000.0,0.7322075389710117,1.265265623529728,0.631935219176495,0.8674445495637548,0
