Game Title,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq,Console Freq,Genre Freq
Grand Theft Auto V,9.4,20.33,6.37,0.99,9.85,3.12,2013,93,22,1348,2839
Grand Theft Auto V,9.7,19.39,6.06,0.6,9.71,3.02,2014,93,22,908,2839
Grand Theft Auto: Vice City,9.6,16.150000000000002,8.41,0.47,5.49,1.78,2002,93,22,2125,2839
Grand Theft Auto V,7.101890450799806,15.87,9.06,0.06,5.33,1.42,2013,93,22,1302,2839
Call of Duty: Black Ops 3,8.1,15.09,6.18,0.41,6.05,2.44,2015,1044,56,908,1485
Call of Duty: Modern Warfare 3,8.7,14.820000000000002,9.07,0.13,4.29,1.33,2011,1044,28,1302,1485
Call of Duty: Black Ops,8.8,14.74,9.76,0.11,3.73,1.14,2010,1044,56,1302,1485
Red Dead Redemption 2,9.8,13.94,5.26,0.21,6.21,2.26,2018,93,2,908,264
Call of Duty: Black Ops II,8.4,13.86,8.27,0.07,4.32,1.2,2012,1044,56,1302,1485
Call of Duty: Black Ops II,8.0,13.8,4.99,0.65,5.88,2.28,2012,1044,56,1348,1485
Call of Duty: Modern Warfare 2,9.5,13.53,8.54,0.08,3.63,1.28,2009,1044,28,1302,1485
Call of Duty: WWII,8.1,13.400000000000002,4.67,0.4,6.21,2.12,2017,1044,6,908,1485
Call of Duty: Modern Warfare 3,8.8,13.35,5.54,0.49,5.78,1.54,2011,1044,28,1348,1485
Grand Theft Auto III,9.5,13.1,6.99,0.3,4.51,1.3,2001,93,8,2125,2839
Call of Duty: Black Ops,8.7,12.67,6.01,0.48,4.4,1.78,2010,1044,56,1348,1485
FIFA 18,8.3,11.8,1.27,0.15,8.64,1.73,2017,540,19,908,2596
Grand Theft Auto IV,10.0,11.09,6.8,0.14,3.11,1.04,2008,93,22,1302,2839
FIFA 17,8.9,10.94,1.26,0.12,7.95,1.61,2016,843,292,908,2596
Call of Duty: Modern Warfare 2,9.5,10.62,4.99,0.38,3.66,1.59,2009,1044,28,1348,1485
Grand Theft Auto IV,10.0,10.580000000000002,4.79,0.44,3.73,1.62,2008,93,22,1348,2839
Call of Duty: Ghosts,6.9,10.42,6.76,0.04,2.64,0.98,2013,1044,28,1302,1485
Call of Duty: Ghosts,7.5,10.13,4.11,0.39,4.01,1.62,2013,1044,28,1348,1485
Halo: Reach,9.3,9.97,7.08,0.08,2.01,0.8,2010,92,16,1302,1485
Halo 4,7.101890450799806,9.96,6.72,0.04,2.36,0.83,2012,41,3,1302,1485
Call of Duty 4: Modern Warfare,9.6,9.41,5.98,0.13,2.39,0.91,2007,1044,28,1302,1485
Call of Duty: Black Ops IIII,7.101890450799806,9.32,4.05,0.5,3.28,1.49,2018,1044,56,908,1485
FIFA 19,7.101890450799806,9.15,0.84,0.1,6.87,1.34,2018,843,45,908,2596
The Elder Scrolls V: Skyrim,9.3,8.88,5.1,0.1,2.83,0.85,2011,113,11,1302,1490
Grand Theft Auto V,9.0,8.72,4.7,0.01,3.25,0.76,2014,93,22,524,2839
Call of Duty: Infinite Warfare,7.9,8.49,3.11,0.19,3.83,1.36,2016,1044,28,908,1485
Fallout 4,8.6,8.49,2.91,0.27,3.97,1.34,2015,113,11,908,1490
FIFA 16,8.5,8.22,1.15,0.07,5.77,1.23,2015,540,292,908,2596
Star Wars Battlefront (2015),7.1,8.030000000000001,3.31,0.23,3.19,1.3,2015,843,25,908,1485
FIFA 13,7.101890450799806,8.01,1.07,0.13,5.13,1.68,2012,540,292,1348,2596
The Sims 3,8.5,7.97,1.01,0.0,6.46,0.5,2009,843,58,1560,1121
Grand Theft Auto: Liberty City Stories,8.8,7.72,2.9,0.24,2.83,1.74,2005,93,10,1340,2839
Call of Duty: Advanced Warfare,8.5,7.54,2.84,0.14,3.34,1.22,2014,1044,6,908,1485
Call of Duty: World at War,8.5,7.5,4.88,0.0,1.91,0.71,2008,1044,56,1302,1485
Call of Duty: Black Ops 3,7.101890450799806,7.37,4.63,0.02,2.04,0.68,2015,1044,56,524,1485
Battlefield 3,8.5,7.35,4.47,0.06,2.12,0.69,2011,843,3,1302,1485
Battlefield 1,9.1,7.260000000000001,2.2,0.29,3.65,1.12,2016,843,25,908,1485
Battlefield 3,8.5,7.220000000000001,2.86,0.35,2.94,1.07,2011,843,3,1348,1485
Need for Speed Underground,8.6,7.2,3.27,0.08,2.83,1.02,2003,843,48,2125,1431
Need for Speed Underground 2,8.3,6.9,2.71,0.08,3.02,1.09,2004,843,48,2125,1431
Just Dance 4,7.101890450799806,6.89,4.05,0.0,2.21,0.62,2012,1012,196,1357,147
Medal of Honor: Frontline,9.0,6.84,2.93,0.17,2.75,0.99,2002,843,33,2125,1485
Uncharted 2: Among Thieves,9.5,6.74,3.28,0.21,2.22,1.02,2009,568,7,1348,2839
Call of Duty 4: Modern Warfare,9.5,6.72,3.13,0.28,2.27,1.04,2007,1044,28,1348,1485
FIFA Soccer 12,9.2,6.65,0.84,0.11,4.33,1.37,2011,540,292,1348,2596
FIFA 14,7.101890450799806,6.61,0.79,0.07,4.77,0.98,2013,540,292,1348,2596
Red Dead Redemption,9.5,6.57,2.82,0.17,2.58,1.0,2011,93,22,1348,2839
Red Dead Redemption,9.5,6.5,3.77,0.09,2.03,0.6,2010,93,22,1302,2839
Assassin's Creed III,8.8,6.5,2.65,0.16,2.61,1.08,2012,1012,172,1348,264
The Elder Scrolls V: Skyrim,9.0,6.49,2.57,0.25,2.68,0.99,2011,113,11,1348,1490
Minecraft,9.4,6.33,1.89,0.35,3.13,0.96,2014,568,3,908,2003
FIFA 15,8.1,6.32,0.83,0.05,4.49,0.94,2014,540,292,908,2596
Driver,8.5,6.27,3.11,0.02,2.8,0.33,1999,26,12,1130,2839
Call of Duty: WWII,7.101890450799806,6.23,3.75,0.0,1.91,0.57,2017,1044,6,524,1485
Minecraft,7.101890450799806,6.0600000000000005,2.21,0.0,2.86,0.99,2014,19,3,1348,2003
Red Dead Redemption 2,7.101890450799806,5.77,3.76,0.0,1.47,0.54,2018,93,2,524,264
Destiny,7.101890450799806,5.76,2.53,0.16,2.13,0.94,2014,1044,16,908,1485
Tekken 2,9.1,5.74,2.26,1.36,1.89,0.23,1996,175,114,1130,871
LEGO Star Wars: The Complete Saga,8.0,5.66,3.57,0.0,1.57,0.52,2007,138,152,1357,2839
Cooking Mama,6.6,5.66,3.09,0.07,1.92,0.58,2006,227,5,2395,1121
Assassin's Creed II,9.0,5.57,2.54,0.21,1.95,0.86,2009,1012,172,1348,2839
Assassin's Creed,8.2,5.55,3.28,0.07,1.64,0.56,2007,1012,172,1302,2839
Batman: Arkham City,9.6,5.54,2.72,0.11,1.89,0.82,2011,126,12,1348,2839
Forza Motorsport 3,9.2,5.5,2.99,0.1,1.9,0.51,2009,92,5,1302,1431
Call of Duty: World at War,8.4,5.43,2.75,0.0,1.84,0.84,2008,1044,56,1348,1485
Minecraft,7.101890450799806,5.43,3.23,0.0,1.71,0.49,2014,41,3,524,2003
Crash Bandicoot: The Wrath of Cortex,6.9,5.42,2.07,0.24,2.29,0.82,2001,16,152,2125,951
Final Fantasy XIII,8.0,5.359999999999999,1.75,1.87,1.23,0.51,2010,209,105,1348,1490
Assassin's Creed III,7.101890450799806,5.319999999999999,3.13,0.03,1.71,0.45,2012,1012,172,1302,264
Assassin's Creed II,9.1,5.3,3.14,0.08,1.55,0.52,2009,1012,172,1302,2839
Tomb Raider II,7.6,5.24,2.3,0.2,2.46,0.28,1997,209,24,1130,1893
Madden NFL 2004,9.5,5.239999999999999,4.26,0.01,0.26,0.71,2003,540,193,2125,2596
Call of Duty: Advanced Warfare,8.3,5.23,3.25,0.01,1.49,0.48,2014,1044,6,524,1485
Medal of Honor: Rising Sun,5.9,5.14,1.98,0.13,2.23,0.8,2003,843,33,2125,1485
Battlefield 1,9.3,5.130000000000001,3.37,0.02,1.26,0.48,2016,843,25,524,1485
Microsoft Flight Simulator,7.0,5.12,3.22,0.0,1.69,0.2,1996,38,3,1560,1121
Guitar Hero II,9.2,5.12,3.81,0.0,0.63,0.68,2006,8,62,2125,2003
FIFA 13,7.101890450799806,5.12,1.1,0.03,3.49,0.5,2012,540,292,1302,2596
Mario & Sonic at the Olympic Games,7.0,5.1,1.63,0.44,2.46,0.57,2008,640,154,2395,2596
Fable III,7.8,5.1,3.59,0.05,1.09,0.37,2010,92,8,1302,1490
Resident Evil 5,8.6,5.1,1.96,1.08,1.42,0.64,2009,437,294,1348,2839
FIFA Soccer 11,8.7,5.08,0.61,0.06,3.28,1.12,2010,540,292,1348,2596
Grand Theft Auto: Vice City Stories,8.4,5.08,1.7,0.16,2.03,1.19,2006,93,10,1340,2839
Final Fantasy XV,8.1,5.07,1.81,1.05,1.53,0.68,2016,209,105,908,1490
Fallout 4,8.4,5.03,2.94,0.02,1.62,0.45,2015,113,11,524,1490
