Game Title,Console,Genre,Publisher,Developer,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq
Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,0.9333333333333333,1.0,0.6526639344262295,0.4647887323943662,1.0,1.0,2013,0.08820709491850431,0.04794520547945205
Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,0.9666666666666666,0.9537401574803152,0.6209016393442622,0.28169014084507044,0.9857868020304569,0.9679487179487178,2014,0.08820709491850431,0.04794520547945205
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,0.9555555555555555,0.7942913385826774,0.8616803278688525,0.22065727699530516,0.5573604060913706,0.5705128205128205,2002,0.08820709491850431,0.04794520547945205
Grand Theft Auto V,X360,Action,Rockstar Games,Rockstar North,0.6779878278666451,0.7805118110236222,0.9282786885245903,0.028169014084507043,0.5411167512690356,0.45512820512820507,2013,0.08820709491850431,0.04794520547945205
Call of Duty: Black Ops 3,PS4,Shooter,Activision,Treyarch,0.7888888888888888,0.7421259842519686,0.6331967213114754,0.19248826291079812,0.6142131979695431,0.7820512820512819,2015,1.0,0.12557077625570776
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,Infinity Ward,0.8555555555555554,0.7288385826771656,0.9293032786885247,0.06103286384976526,0.4355329949238579,0.42628205128205127,2011,1.0,0.06164383561643835
Call of Duty: Black Ops,X360,Shooter,Activision,Treyarch,0.8666666666666667,0.7249015748031498,1.0,0.051643192488262914,0.3786802030456853,0.3653846153846153,2010,1.0,0.12557077625570776
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,Rockstar Games,0.9777777777777779,0.6855314960629922,0.5389344262295082,0.09859154929577464,0.6304568527918781,0.7243589743589742,2018,0.08820709491850431,0.00228310502283105
Call of Duty: Black Ops II,X360,Shooter,Activision,Treyarch,0.8222222222222222,0.6815944881889765,0.8473360655737705,0.03286384976525822,0.4385786802030457,0.3846153846153846,2012,1.0,0.12557077625570776
Call of Duty: Black Ops II,PS3,Shooter,Activision,Treyarch,0.7777777777777777,0.6786417322834647,0.5112704918032788,0.3051643192488263,0.5969543147208122,0.7307692307692306,2012,1.0,0.12557077625570776
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,Infinity Ward,0.9444444444444444,0.6653543307086616,0.8749999999999999,0.03755868544600939,0.36852791878172586,0.41025641025641024,2009,1.0,0.06164383561643835
Call of Duty: WWII,PS4,Shooter,Activision,Sledgehammer Games,0.7888888888888888,0.6589566929133861,0.47848360655737704,0.18779342723004697,0.6304568527918781,0.6794871794871795,2017,1.0,0.01141552511415525
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,Infinity Ward,0.8666666666666667,0.6564960629921262,0.5676229508196722,0.2300469483568075,0.5868020304568529,0.49358974358974356,2011,1.0,0.06164383561643835
Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,0.9444444444444444,0.6441929133858268,0.716188524590164,0.14084507042253522,0.4578680203045685,0.41666666666666663,2001,0.08820709491850431,0.01598173515981735
Call of Duty: Black Ops,PS3,Shooter,Activision,Treyarch,0.8555555555555554,0.6230314960629922,0.6157786885245902,0.22535211267605634,0.4467005076142132,0.5705128205128205,2010,1.0,0.12557077625570776
FIFA 18,PS4,Sports,EA Sports,EA Vancouver,0.8111111111111111,0.5802165354330711,0.13012295081967212,0.07042253521126761,0.8771573604060914,0.5544871794871794,2017,0.5167785234899328,0.0410958904109589
Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,1.0,0.5452755905511812,0.6967213114754098,0.06572769953051644,0.315736040609137,0.3333333333333333,2008,0.08820709491850431,0.04794520547945205
FIFA 17,PS4,Sports,Electronic Arts,EA Canada,0.8777777777777778,0.5378937007874016,0.1290983606557377,0.056338028169014086,0.8071065989847716,0.516025641025641,2016,0.8072866730584851,0.6643835616438356
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,Infinity Ward,0.9444444444444444,0.5221456692913387,0.5112704918032788,0.1784037558685446,0.3715736040609137,0.5096153846153846,2009,1.0,0.06164383561643835
Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,1.0,0.5201771653543309,0.49077868852459017,0.20657276995305165,0.3786802030456853,0.5192307692307693,2008,0.08820709491850431,0.04794520547945205
Call of Duty: Ghosts,X360,Shooter,Activision,Infinity Ward,0.6555555555555557,0.5123031496062993,0.6926229508196722,0.018779342723004695,0.26802030456852793,0.31410256410256404,2013,1.0,0.06164383561643835
Call of Duty: Ghosts,PS3,Shooter,Activision,Infinity Ward,0.7222222222222221,0.49803149606299224,0.4211065573770492,0.18309859154929578,0.40710659898477153,0.5192307692307693,2013,1.0,0.06164383561643835
Halo: Reach,X360,Shooter,Microsoft Game Studios,Bungie,0.9222222222222223,0.49015748031496076,0.7254098360655737,0.03755868544600939,0.20406091370558374,0.2564102564102564,2010,0.087248322147651,0.03424657534246575
Halo 4,X360,Shooter,Microsoft Studios,343 Industries,0.6779878278666451,0.4896653543307088,0.6885245901639344,0.018779342723004695,0.2395939086294416,0.26602564102564097,2012,0.03835091083413231,0.0045662100456621
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,Infinity Ward,0.9555555555555555,0.4625984251968505,0.6127049180327869,0.06103286384976526,0.24263959390862946,0.29166666666666663,2007,1.0,0.06164383561643835
Call of Duty: Black Ops IIII,PS4,Shooter,Activision,Treyarch,0.6779878278666451,0.4581692913385828,0.4149590163934426,0.2347417840375587,0.332994923857868,0.47756410256410253,2018,1.0,0.12557077625570776
FIFA 19,PS4,Sports,Electronic Arts,EA Sports,0.6779878278666451,0.4498031496062993,0.0860655737704918,0.04694835680751174,0.6974619289340102,0.42948717948717946,2018,0.8072866730584851,0.1004566210045662
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,0.9222222222222223,0.4365157480314962,0.5225409836065573,0.04694835680751174,0.28730964467005077,0.2724358974358974,2011,0.10738255033557047,0.0228310502283105
Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,0.8888888888888888,0.4286417322834647,0.48155737704918034,0.004694835680751174,0.3299492385786802,0.24358974358974358,2014,0.08820709491850431,0.04794520547945205
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,Infinity Ward,0.7666666666666666,0.4173228346456694,0.31864754098360654,0.0892018779342723,0.38883248730964465,0.4358974358974359,2016,1.0,0.06164383561643835
Fallout 4,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,0.8444444444444443,0.4173228346456694,0.29815573770491804,0.1267605633802817,0.4030456852791878,0.42948717948717946,2015,0.10738255033557047,0.0228310502283105
FIFA 16,PS4,Sports,EA Sports,EA Canada,0.8333333333333333,0.40403543307086626,0.11782786885245901,0.03286384976525822,0.5857868020304569,0.39423076923076916,2015,0.5167785234899328,0.6643835616438356
Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,EA DICE,0.6777777777777776,0.39468503937007887,0.3391393442622951,0.107981220657277,0.3238578680203046,0.41666666666666663,2015,0.8072866730584851,0.0547945205479452
FIFA 13,PS3,Sports,EA Sports,EA Canada,0.6779878278666451,0.3937007874015749,0.10963114754098362,0.06103286384976526,0.5208121827411167,0.5384615384615384,2012,0.5167785234899328,0.6643835616438356
The Sims 3,PC,Simulation,Electronic Arts,EA Redwood Shores,0.8333333333333333,0.391732283464567,0.10348360655737705,0.0,0.6558375634517767,0.16025641025641024,2009,0.8072866730584851,0.13013698630136986
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,0.8666666666666667,0.37942913385826776,0.29713114754098363,0.11267605633802817,0.28730964467005077,0.5576923076923076,2005,0.08820709491850431,0.02054794520547945
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,Sledgehammer Games,0.8333333333333333,0.37057086614173235,0.29098360655737704,0.06572769953051644,0.33908629441624366,0.39102564102564097,2014,1.0,0.01141552511415525
Call of Duty: World at War,X360,Shooter,Activision,Treyarch,0.8333333333333333,0.3686023622047245,0.5,0.0,0.19390862944162435,0.22756410256410253,2008,1.0,0.12557077625570776
Call of Duty: Black Ops 3,XOne,Shooter,Activision,Treyarch,0.6779878278666451,0.3622047244094489,0.47438524590163933,0.009389671361502348,0.20710659898477157,0.21794871794871795,2015,1.0,0.12557077625570776
Battlefield 3,X360,Shooter,Electronic Arts,Dice,0.8333333333333333,0.36122047244094496,0.4579918032786885,0.028169014084507043,0.2152284263959391,0.22115384615384612,2011,0.8072866730584851,0.0045662100456621
Battlefield 1,PS4,Shooter,Electronic Arts,EA DICE,0.8999999999999999,0.35679133858267725,0.2254098360655738,0.13615023474178403,0.37055837563451777,0.358974358974359,2016,0.8072866730584851,0.0547945205479452
Battlefield 3,PS3,Shooter,Electronic Arts,Dice,0.8333333333333333,0.3548228346456694,0.2930327868852459,0.16431924882629106,0.2984771573604061,0.34294871794871795,2011,0.8072866730584851,0.0045662100456621
Need for Speed Underground,PS2,Racing,Electronic Arts,EA Black Box,0.8444444444444443,0.35383858267716545,0.3350409836065574,0.03755868544600939,0.28730964467005077,0.3269230769230769,2003,0.8072866730584851,0.10730593607305935
Need for Speed Underground 2,PS2,Racing,Electronic Arts,EA Black Box,0.8111111111111111,0.33907480314960636,0.2776639344262295,0.03755868544600939,0.3065989847715736,0.34935897435897434,2004,0.8072866730584851,0.10730593607305935
Just Dance 4,Wii,Music,Ubisoft,Ubisoft,0.6779878278666451,0.3385826771653544,0.4149590163934426,0.0,0.22436548223350253,0.1987179487179487,2012,0.9693192713326941,0.4452054794520548
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,EA Los Angeles,0.8888888888888888,0.33612204724409456,0.3002049180327869,0.07981220657276995,0.27918781725888325,0.3173076923076923,2002,0.8072866730584851,0.0730593607305936
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,0.9444444444444444,0.3312007874015749,0.3360655737704918,0.09859154929577464,0.22538071065989848,0.3269230769230769,2009,0.5436241610738255,0.0136986301369863
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,Infinity Ward,0.9444444444444444,0.33021653543307095,0.3206967213114754,0.13145539906103287,0.23045685279187816,0.3333333333333333,2007,1.0,0.06164383561643835
FIFA Soccer 12,PS3,Sports,EA Sports,EA Canada,0.911111111111111,0.3267716535433072,0.0860655737704918,0.051643192488262914,0.43959390862944164,0.4391025641025641,2011,0.5167785234899328,0.6643835616438356
FIFA 14,PS3,Sports,EA Sports,EA Canada,0.6779878278666451,0.3248031496062993,0.08094262295081968,0.03286384976525822,0.4842639593908629,0.31410256410256404,2013,0.5167785234899328,0.6643835616438356
Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,0.9444444444444444,0.32283464566929143,0.2889344262295082,0.07981220657276995,0.26192893401015227,0.3205128205128205,2011,0.08820709491850431,0.04794520547945205
Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,0.9444444444444444,0.3193897637795276,0.3862704918032787,0.04225352112676056,0.20609137055837562,0.1923076923076923,2010,0.08820709491850431,0.04794520547945205
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,0.8666666666666667,0.3193897637795276,0.27151639344262296,0.07511737089201878,0.2649746192893401,0.34615384615384615,2012,0.9693192713326941,0.3904109589041096
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,0.8888888888888888,0.3188976377952757,0.26331967213114754,0.11737089201877934,0.2720812182741117,0.3173076923076923,2011,0.10738255033557047,0.0228310502283105
Minecraft,PS4,Misc,Sony Computer Entertainment,Mojang,0.9333333333333333,0.31102362204724415,0.19364754098360656,0.16431924882629106,0.3177664974619289,0.30769230769230765,2014,0.5436241610738255,0.0045662100456621
FIFA 15,PS4,Sports,EA Sports,EA Canada,0.7888888888888888,0.3105314960629922,0.08504098360655737,0.02347417840375587,0.4558375634517767,0.3012820512820512,2014,0.5167785234899328,0.6643835616438356
Driver,PS,Action,GT Interactive,Reflections Interactive,0.8333333333333333,0.30807086614173235,0.31864754098360654,0.009389671361502348,0.2842639593908629,0.10576923076923077,1999,0.023969319271332692,0.02511415525114155
Call of Duty: WWII,XOne,Shooter,Activision,Sledgehammer Games,0.6779878278666451,0.3061023622047245,0.38422131147540983,0.0,0.19390862944162435,0.18269230769230765,2017,1.0,0.01141552511415525
Minecraft,PS3,Misc,Sony Computer Entertainment America,Mojang,0.6779878278666451,0.297736220472441,0.2264344262295082,0.0,0.29035532994923857,0.3173076923076923,2014,0.017257909875359537,0.0045662100456621
Red Dead Redemption 2,XOne,Action-Adventure,Rockstar Games,Rockstar Games,0.6779878278666451,0.2834645669291339,0.38524590163934425,0.0,0.14923857868020304,0.17307692307692307,2018,0.08820709491850431,0.00228310502283105
Destiny,PS4,Shooter,Activision,Bungie,0.6779878278666451,0.28297244094488194,0.25922131147540983,0.07511737089201878,0.216243654822335,0.3012820512820512,2014,1.0,0.03424657534246575
Tekken 2,PS,Fighting,Namco,Namco,0.8999999999999999,0.281988188976378,0.2315573770491803,0.6384976525821596,0.19187817258883247,0.07371794871794872,1996,0.16682646212847554,0.25799086757990863
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,Traveller's Tales,0.7777777777777777,0.27805118110236227,0.36577868852459017,0.0,0.15939086294416244,0.16666666666666666,2007,0.13135186960690318,0.3447488584474886
Cooking Mama,DS,Simulation,Majesco,Office Create,0.6222222222222222,0.27805118110236227,0.3165983606557377,0.03286384976525822,0.1949238578680203,0.18589743589743588,2006,0.21668264621284755,0.0091324200913242
Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal,0.8888888888888888,0.27362204724409456,0.26024590163934425,0.09859154929577464,0.1979695431472081,0.2756410256410256,2009,0.9693192713326941,0.3904109589041096
Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal,0.7999999999999998,0.2726377952755906,0.3360655737704918,0.03286384976525822,0.166497461928934,0.1794871794871795,2007,0.9693192713326941,0.3904109589041096
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,Rocksteady Studios,0.9555555555555555,0.27214566929133865,0.27868852459016397,0.051643192488262914,0.19187817258883247,0.2628205128205128,2011,0.11984659635666346,0.02511415525114155
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,Turn 10 Studios,0.911111111111111,0.2701771653543308,0.30635245901639346,0.04694835680751174,0.19289340101522842,0.16346153846153846,2009,0.087248322147651,0.0091324200913242
Call of Duty: World at War,PS3,Shooter,Activision,Treyarch,0.8222222222222222,0.26673228346456695,0.2817622950819672,0.0,0.18680203045685279,0.2692307692307692,2008,1.0,0.12557077625570776
Minecraft,XOne,Misc,Microsoft Studios,Mojang,0.6779878278666451,0.26673228346456695,0.33094262295081966,0.0,0.1736040609137056,0.15705128205128202,2014,0.03835091083413231,0.0045662100456621
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,Traveller's Tales,0.6555555555555557,0.266240157480315,0.21209016393442623,0.11267605633802817,0.23248730964467004,0.2628205128205128,2001,0.014381591562799615,0.3447488584474886
Final Fantasy XIII,PS3,Role-Playing,Square Enix,Square Enix,0.7777777777777777,0.2632874015748032,0.17930327868852458,0.8779342723004695,0.1248730964467005,0.16346153846153846,2010,0.19942473633748803,0.2374429223744292
Assassin's Creed III,X360,Action-Adventure,Ubisoft,Ubisoft Montreal,0.6779878278666451,0.2613188976377953,0.3206967213114754,0.014084507042253521,0.1736040609137056,0.14423076923076922,2012,0.9693192713326941,0.3904109589041096
Assassin's Creed II,X360,Action,Ubisoft,Ubisoft Montreal,0.8999999999999999,0.2603346456692914,0.32172131147540983,0.03755868544600939,0.15736040609137056,0.16666666666666666,2009,0.9693192713326941,0.3904109589041096
Tomb Raider II,PS,Adventure,Eidos Interactive,Core Design Ltd.,0.7333333333333332,0.25738188976377957,0.23565573770491802,0.09389671361502348,0.249746192893401,0.08974358974358974,1997,0.19942473633748803,0.05251141552511415
Madden NFL 2004,PS2,Sports,EA Sports,EA Tiburon,0.9444444444444444,0.25738188976377957,0.4364754098360656,0.004694835680751174,0.026395939086294416,0.22756410256410253,2003,0.5167785234899328,0.4383561643835616
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,Sledgehammer Games,0.8111111111111111,0.25688976377952766,0.33299180327868855,0.004694835680751174,0.15126903553299492,0.15384615384615383,2014,1.0,0.01141552511415525
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,EA Los Angeles,0.5444444444444445,0.2524606299212599,0.2028688524590164,0.06103286384976526,0.2263959390862944,0.2564102564102564,2003,0.8072866730584851,0.0730593607305936
Battlefield 1,XOne,Shooter,Electronic Arts,EA DICE,0.9222222222222223,0.251968503937008,0.3452868852459017,0.009389671361502348,0.12791878172588833,0.15384615384615383,2016,0.8072866730584851,0.0547945205479452
Microsoft Flight Simulator,PC,Simulation,Microsoft,Microsoft,0.6666666666666665,0.25147637795275596,0.32991803278688525,0.0,0.1715736040609137,0.0641025641025641,1996,0.03547459252157238,0.0045662100456621
